date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:38:53	39955/39955	---MCZ	200	added ('OK')	text/html	etag:%229c13-5db05ceca509e-gzip%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/posttest.html	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/posttest.html	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/index.html)
19:38:53	28507/28507	---MCZ	200	added ('OK')	text/html	etag:%226f5b-5db05ceca21bf-gzip%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/further-reading-and-references.html	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/further-reading-and-references.html	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/index.html)
19:38:53	28286/28286	---MCZ	200	added ('OK')	text/html	etag:%226e7e-5db05ceca21bf-gzip%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/feedback.html	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/feedback.html	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/index.html)
19:38:54	1044/1044	---MCZ	200	added ('OK')	application/javascript	etag:%22414-5db05ceca027f-gzip%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/js/toggleSidebar.js	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/js/toggleSidebar.js	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/index.html)
19:38:55	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-5db05ceca027f%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.eot	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
19:38:55	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%222876e-5db05ceca027f%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfontd41d.eot	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
19:38:55	77160/77160	---M--	200	added ('OK')	text/html	etag:%2212d68-5db05ceca027f%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.html	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
19:38:55	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%2217ee8-5db05ceca027f%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
19:38:55	165548/165548	---M--	200	added ('OK')	application/font-sfnt	etag:%22286ac-5db05ceca027f%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.ttf	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
19:38:56	447050/447050	---M--	200	added ('OK')	image/svg+xml	etag:%226d24a-5db05ceca027f%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.svg	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
19:38:56	15658/15658	---M--	200	added ('OK')	image/png	etag:%223d2a-5db05ceca21bf%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/images/sort.png	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/images/sort.png	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/recap.html)
19:38:56	6138/6138	---MCZ	200	added ('OK')	application/javascript	etag:%2217fa-5db05ceca027f-gzip%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/js/assesment_v2.js	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/assets/js/assesment_v2.js	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/pretest.html)
19:38:57	25292/25292	---M--	200	added ('OK')	image/png	etag:%2262cc-5db05ceca121f%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/bubble-sort/images/swap.png	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/bubble-sort/images/swap.png	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/bubble-sort/basic-concept.html)
19:38:57	59190/59190	---M--	200	added ('OK')	image/png	etag:%22e736-5db05ceca121f%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/bubble-sort/images/oneiteration.png	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/bubble-sort/images/oneiteration.png	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/bubble-sort/basic-concept.html)
19:38:57	50192/50192	---M--	200	added ('OK')	image/png	etag:%22c410-5db05ceca121f%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/bubble-sort/images/bubble.png	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/bubble-sort/images/bubble.png	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/bubble-sort/bsalgo.html)
19:38:58	2004/2004	---MCZ	200	added ('OK')	text/html	etag:%227d4-5db05ceca121f-gzip%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/bubble-sort/simulation/bsdemo.html	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/bubble-sort/simulation/bsdemo.html	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/bubble-sort/bsdemo.html)
19:38:58	1715/1715	---MCZ	200	added ('OK')	text/html	etag:%226b3-5db05ceca121f-gzip%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/bubble-sort/simulation/bspractice.html	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/bubble-sort/simulation/bspractice.html	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/bubble-sort/bspractice.html)
19:38:58	1897/1897	---MCZ	200	added ('OK')	text/html	etag:%22769-5db05ceca121f-gzip%22	https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/bubble-sort/simulation/bsexercise.html	C:/My%20Web%20Sites/PROJEHCT/ds1-iiith.vlabs.ac.in/exp/bubble-sort/bubble-sort/simulation/bsexercise.html	(from https://ds1-iiith.vlabs.ac.in/exp/bubble-sort/bubble-sort/bsexercise.html)
